imagen,modelo,pixeles_incendio,total_pixeles,porcentaje_incendio
16_González_Tamaulipas_bloque_23_x128_y192.tiff,model_final.pth,5797,16384,35.3821
16_González_Tamaulipas_bloque_25_x256_y192.tiff,model_final.pth,2397,16384,14.6301
16_González_Tamaulipas_bloque_28_x64_y256.tiff,model_final.pth,10167,16384,62.0544
16_González_Tamaulipas_bloque_29_x128_y256.tiff,model_final.pth,8213,16384,50.1282
16_González_Tamaulipas_bloque_2_x128_y0.tiff,model_final.pth,6018,16384,36.731
16_González_Tamaulipas_bloque_3_x192_y0.tiff,model_final.pth,4987,16384,30.4382
16_González_Tamaulipas_bloque_6_x363_y0.tiff,model_final.pth,3699,16384,22.5769
16_González_Tamaulipas_bloque_8_x64_y64.tiff,model_final.pth,7304,16384,44.5801
16_Lomas del Real_Tamaulipas_bloque_0_x0_y0.tiff,model_final.pth,767,16384,4.6814
16_Lomas del Real_Tamaulipas_bloque_5_x72_y64.tiff,model_final.pth,925,16384,5.6458
16_Nuevo Morelos_Tamaulipas2_bloque_14_x126_y213.tiff,model_final.pth,1,16384,0.0061
16_Nuevo Morelos_Tamaulipas2_bloque_4_x64_y64.tiff,model_final.pth,47,16384,0.2869
16_Nuevo Morelos_Tamaulipas2_bloque_7_x64_y128.tiff,model_final.pth,1,16384,0.0061
16_Nuevo Morelos_Tamaulipas3_bloque_0_x0_y0.tiff,model_final.pth,3545,16384,21.637
16_Nuevo Morelos_Tamaulipas3_bloque_11_x118_y192.tiff,model_final.pth,4340,16384,26.4893
16_Nuevo Morelos_Tamaulipas3_bloque_12_x0_y229.tiff,model_final.pth,3181,16384,19.4153
16_Nuevo Morelos_Tamaulipas3_bloque_14_x118_y229.tiff,model_final.pth,4019,16384,24.53
16_Nuevo Morelos_Tamaulipas3_bloque_6_x0_y128.tiff,model_final.pth,3327,16384,20.3064
16_Nuevo Morelos_Tamaulipas3_bloque_7_x64_y128.tiff,model_final.pth,3194,16384,19.4946
16_Nuevo Morelos_Tamaulipas_bloque_0_x0_y0.tiff,model_final.pth,2079,16384,12.6892
16_Nuevo Morelos_Tamaulipas_bloque_3_x0_y64.tiff,model_final.pth,2492,16384,15.21
16_Oaxaca_Oaxaca_bloque_10_x64_y192.tiff,model_final.pth,2680,16384,16.3574
16_Oaxaca_Oaxaca_bloque_16_x188_y256.tiff,model_final.pth,1419,16384,8.6609
16_Oaxaca_Oaxaca_bloque_4_x128_y64.tiff,model_final.pth,473,16384,2.887
16_Oaxaca_Oaxaca_bloque_5_x0_y128.tiff,model_final.pth,3701,16384,22.5891
16_Quimicho_Tlaxcala_bloque_10_x64_y141.tiff,model_final.pth,2609,16384,15.9241
16_Quimicho_Tlaxcala_bloque_2_x84_y0.tiff,model_final.pth,1155,16384,7.0496
16_Quimicho_Tlaxcala_bloque_9_x0_y141.tiff,model_final.pth,1839,16384,11.2244
16_San José de los Pozos_Jalisco_bloque_12_x320_y128.tiff,model_final.pth,1093,16384,6.6711
